x,y,t
0.0,0.0,o
28.21254767466317,12.431454207165695,p
28.078599688021356,12.73110912528233,p
34.789752626303944,16.20794595871352,p
38.585912572579666,18.611634827205226,p
44.899807230231005,21.657096081610188,p
49.00821429128495,24.52009241376331,p
48.65668390123667,25.210456396803604,p
54.201488823308914,29.038228412503383,p
59.71652888185559,33.25144625880965,p
61.18219809445521,35.30932222984239,p
62.69578006177749,37.31488660635623,p
57.59820761364027,35.310056353622436,p
54.135858009342144,34.34240785955967,p
49.36597177969325,32.36574933856051,p
47.34390074183976,31.813781016201524,p
43.103334887116056,29.779432862449276,p
40.66687857851795,28.761799086289397,p
36.79409290417261,26.732473274261675,p
32.76753793594799,24.459774275659402,p
32.342133114273174,24.790097329753156,p
31.74075991535448,24.977515088491614,p
31.200312746238428,25.094662471069654,p
30.761426393652563,25.28570833945325,p
30.30811109730277,25.548933475070008,p
29.886333987678874,25.842738646995414,p
29.49190029814713,26.1565329660517,p
28.697372868673167,26.967483947086006,p
28.3850352399303,27.35372322788829,p
27.918355184555992,27.56008606280059,p
27.630401193552565,27.862852149112964,p
27.398035434279567,27.628531527063846,p
26.913748265536828,27.947990165650783,p
26.137328967106004,28.404225644528342,p
25.617554231053752,28.431211989977143,p
25.123237763645534,28.49671953526116,p
24.48818856360208,28.611260385964613,p
23.88184413976269,28.52187792702442,p
23.295215027853565,28.410571215765188,p
22.61818742288451,28.161534008346717,p
22.19228884756809,28.333415179009133,p
21.745163378757574,28.451783241672928,p
21.178197894639887,28.714914834201938,p
20.672274860725448,28.970763746967716,p
20.245065554675087,29.161401212680236,p
19.456720877559153,29.597506866166178,p
19.056507960842247,29.80929224819597,p
18.512439185641462,30.068017816243334,p
18.049175614032947,30.301817761543592,p
17.673238377499278,30.48793606087639,p
17.35427697561501,30.636141575819217,p
16.998648519220747,30.754927223454686,p
16.60070836984987,30.960190271043178,p
16.1940297774308,31.17483439519262,p
15.670467196416482,31.43009477946312,p
15.21353524854461,31.65379511593026,p
14.806134655906558,31.824336231116636,p
14.428553292311454,32.030200590863124,p
13.66738834726814,32.48168862243709,p
13.242343077252489,32.77594925893594,p
12.867215964753507,33.05382963162351,p
12.467305853002088,33.29217302561819,p
11.687306269502182,33.92316718944231,p
11.23625839963693,34.296276724691104,p
10.822394301865252,34.47104120236224,p
10.477508915517479,34.90122357346876,p
10.050645115314147,35.12015707205781,p
9.556272599263911,35.3925593028896,p
9.111979918676989,35.64373608309919,p
8.702609605926854,35.972276631411994,p
8.176080339882029,36.2801296893464,p
